127.0.0.1 - - [06/Aug/2021:15:33:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:33:05 +0900] "GET /myboard/ HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:33:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:33:07 +0900] "GET /myboard/listPage.do?nowPage=1&cntPerPage=10 HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:33:11 +0900] "GET /myboard/insert.do?nowPage=1 HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:33:23 +0900] "POST /myboard/insertres.do HTTP/1.1" 500 4965
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:34:20 +0900] "POST /myboard/insertres.do HTTP/1.1" 500 3676
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:34:29 +0900] "GET /myboard/login.do HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:34:33 +0900] "POST /myboard/ajaxlogin.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:34:33 +0900] "GET /myboard/listPage.do?nowPage=1&cntPerPage=10 HTTP/1.1" 200 4189
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:34:37 +0900] "GET /myboard/insert.do?nowPage=1 HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:34:43 +0900] "POST /myboard/insertres.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:34:43 +0900] "GET /myboard/select.do?myno=181&nowPage=1 HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:36:09 +0900] "GET /myboard/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:36:09 +0900] "GET /myboard/ HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [06/Aug/2021:15:36:13 +0900] "GET /myboard/listPage.do?nowPage=1&cntPerPage=10 HTTP/1.1" 200 4248
