127.0.0.1 - - [25/Mar/2021:19:40:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Mar/2021:19:40:16 +0900] "GET /Jsp14_Test/ HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [25/Mar/2021:19:40:20 +0900] "GET /Jsp14_Test/map2.html HTTP/1.1" 200 5123
0:0:0:0:0:0:0:1 - - [25/Mar/2021:19:42:47 +0900] "GET /Jsp14_Test/joinForm.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [25/Mar/2021:19:44:11 +0900] "GET /Jsp14_Test/signup/jusoPopup.jsp HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [25/Mar/2021:19:44:26 +0900] "POST /Jsp14_Test/signup/jusoPopup.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [25/Mar/2021:19:46:07 +0900] "GET /Jsp14_Test/joinForm.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:22 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:26 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:27 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:27 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:27 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:27 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:28 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:28 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:28 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:17:28 +0900] "GET /Jsp14_Test/map3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:43:13 +0900] "GET /Jsp14_Test/joinForm.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:44:16 +0900] "GET /Jsp14_Test/joinForm.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:44:18 +0900] "GET /Jsp14_Test/signup/jusoPopup.jsp HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:44:28 +0900] "POST /Jsp14_Test/signup/jusoPopup.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:45:02 +0900] "GET /Jsp14_Test/joinForm.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [25/Mar/2021:20:45:08 +0900] "GET /Jsp14_Test/test.html HTTP/1.1" 200 1353
